46764 46816 1vs1
67606 67803 distant attack
73131 73343 distant attack
73542 73671 distant attack
74040 74167 distant attack
74593 74746 distant attack
74747 74874 distant attack
74985 75076 distant attack
75077 75232 distant attack
75233 75696 distant attack
76377 76566 distant attack
76759 76815 distant attack
76944 76996 distant attack
77211 77272 distant attack
77346 77378 distant attack
77479 77522 distant attack
77668 77755 distant attack
77824 77869 distant attack
77962 78130 distant attack
87726 87842 distant attack
87871 87935 distant attack
87960 88012 distant attack
88633 88707 distant attack
88783 88828 distant attack
88903 88971 distant attack
89036 89112 distant attack
89144 89413 distant attack
89450 89574 distant attack
89896 89975 distant attack
90115 90172 distant attack
90198 90403 distant attack
90525 90684 distant attack
90868 91066 distant attack
91222 91258 distant attack
91311 91347 distant attack
91409 91437 distant attack
91467 91492 distant attack
91684 91712 distant attack
91725 91864 distant attack
92395 92765 distant attack
92842 93677 distant attack
95739 95808 1vs1
120557 120796 1vs1
128218 128364 distant attack
128425 128498 distant attack
128964 129056 1vs1
131944 132192 distant attack
132290 132477 distant attack
133317 133476 distant attack
156810 156869 1vs1
183855 183884 distant attack
184008 184055 distant attack
184194 184261 distant attack
184826 184909 distant attack
184954 184992 distant attack
185084 185125 distant attack
185511 185530 distant attack
185559 185724 distant attack
185772 185819 distant attack
185912 185974 distant attack
186014 186057 distant attack
186108 186155 distant attack
186197 186233 distant attack
187019 187454 distant attack
187544 187599 distant attack
189686 189727 distant attack
189750 189783 distant attack
189803 189967 distant attack
190098 190181 distant attack
190182 190316 distant attack
190410 190469 distant attack
190508 190566 distant attack
190589 190662 distant attack
190702 190752 distant attack
190796 190860 distant attack
191137 191187 distant attack
191396 191483 distant attack
191611 191732 distant attack
192098 192157 distant attack
193004 193156 distant attack
193205 193320 distant attack
195340 195491 distant attack
196842 196925 distant attack
200156 200321 distant attack
200354 200380 distant attack
200406 200454 distant attack
200784 200827 distant attack
200900 200958 distant attack
200986 201101 distant attack
201193 201244 distant attack
201302 201342 distant attack
201413 201861 distant attack
202815 202995 distant attack
